title,year,venue,type,co_authors
Cullin-independent recognition of HHARI substrates by a dynamic RBR catalytic domain,2022,Structure,article,Katherine H. Reiter; Alex Zelter; Maria K. Janowska; Michael Riffle; Nicholas Shulman; Brendan MacLean; Kaipo Tamura; Matthew Chambers; Michael J. MacCoss; Trisha N. Davis; Miklós Guttman; Peter S. Brzović; Rachel E. Klevit
TurnoveR: A Skyline External Tool for Analysis of Protein Turnover in Metabolic Labeling Studies,2022,Journal of Proteome Research,article,Nathan Basisty; Nicholas Shulman; Cameron Wehrfritz; Alexandra N. Marsh; Samah Shah; Jacob Rose; Scott M. Ebert; Matthew J. Miller; Dao‐Fu Dai; Peter S. Rabinovitch; Christopher M. Adams; Michael J. MacCoss; Brendan MacLean; Birgit Schilling
Development and Application of Multidimensional Lipid Libraries to Investigate Lipidomic Dysregulation Related to Smoke Inhalation Injury Severity,2021,Journal of Proteome Research,article,Kaylie I. Kirkwood‐Donelson; Michael W. Christopher; Jefferey L. Burgess; Sally R. Littau; Kevin N Foster; Karen Richey; Brian Pratt; Nicholas Shulman; Kaipo Tamura; Michael J. MacCoss; Brendan MacLean; Erin Baker
Development and Application of Multidimensional Lipid Libraries to Investigate Lipidomic Dysregulation Related to Smoke Inhalation Injury Severity,2021,bioRxiv (Cold Spring Harbor Laboratory),preprint,Kaylie I. Kirkwood‐Donelson; Michael W. Christopher; Jefferey L. Burgess; Sally R. Littau; Brian Pratt; Nicholas Shulman; Kaipo Tamura; Michael J. MacCoss; Brendan MacLean; Erin Baker
Skyline Batch: An Intuitive User Interface for Batch Processing with Skyline,2021,Journal of Proteome Research,article,Alexandra N. Marsh; Vagisha Sharma; Surya K. Mani; Olga Vitek; Michael J. MacCoss; Brendan MacLean
Skyline for Small Molecules: A Unifying Software Package for Quantitative Metabolomics,2020,Journal of Proteome Research,article,Kendra J. Adams; Brian Pratt; Neelanjan Bose; Laura G. Dubois; Lisa St. John‐Williams; Kevin M. Perrott; Karina Ky; Pankaj Kapahi; Vagisha Sharma; Michael J. MacCoss; M. Arthur Moseley; Carol A. Colton; Brendan MacLean; Birgit Schilling; J. Will Thompson; Alzheimer’s Disease Metabolomics Consortium
LipidCreator workbench to probe the lipidomic landscape,2020,Nature Communications,article,Bing Peng; Dominik Kopczynski; Brian Pratt; Christer S. Ejsing; Bo Burla; Martin Hermansson; Peter I. Benke; Sock Hwee Tan; Mark Y. Chan; Federico Torta; Dominik Schwudke; Sven W. Meckelmann; Cristina Coman; Oliver J. Schmitz; Brendan MacLean; Mailin-Christin Manke; Oliver Borst; Markus R. Wenk; Nils Hoffmann; Robert Ahrends
Selection of Features with Consistent Profiles Improves Relative Protein Quantification in Mass Spectrometry Experiments,2020,Molecular & Cellular Proteomics,article,Tsung‐Heng Tsai; Meena Choi; Balázs Bánfai; Yansheng Liu; Brendan MacLean; Tom Dunkley; Olga Vitek
Avant-garde: an automated data-driven DIA data curation tool,2020,Nature Methods,article,Alvaro Sebastian Vaca Jácome; Ryan Peckner; Nicholas Shulman; Karsten Krug; Katherine C. DeRuff; Adam Officer; Karen E. Christianson; Brendan MacLean; Michael J. MacCoss; Steven A. Carr; Jacob D. Jaffe
Audit logs to enforce document integrity in Skyline and Panorama,2020,Bioinformatics,article,Tobias Rohde; Rita Chupalov; Nicholas Shulman; Vagisha Sharma; Josh Eckels; Brian Pratt; Michael J. MacCoss; Brendan MacLean
The ProteomeXchange consortium in 2020: enabling ‘big data’ approaches in proteomics,2019,Nucleic Acids Research,article,Eric W. Deutsch; Nuno Bandeira; Vagisha Sharma; Yasset Pérez‐Riverol; Jeremy Carver; Deepti J Kundu; David García‐Seisdedos; Andrew F. Jarnuczak; Suresh Hewapathirana; Benjamin Pullman; Julie Wertz; Zhi Sun; Shin Kawano; Shujiro Okuda; Yu Watanabe; Henning Hermjakob; Brendan MacLean; Michael J. MacCoss; Yunping Zhu; Yasushi Ishihama; Juan Antonio Vizcaíno
Improving Precursor Selectivity in Data-Independent Acquisition Using Overlapping Windows,2019,Journal of the American Society for Mass Spectrometry,article,Dario Amodei; Jarrett D. Egertson; Brendan MacLean; Richard S. Johnson; Gennifer E. Merrihew; Austin W. Keller; D. C. B. Marsh; Olga Vitek; Parag Mallick; Michael J. MacCoss
Standardization of PGC-LC-MS-based glycomics for sample specific glycotyping,2019,The Analyst,article,Christopher Ashwood; Brian Pratt; Brendan MacLean; Rebekah L. Gundry; Nicolle H. Packer
Standardization of PGC-LC-MS-based glycomics for sample specific glycotyping,2019,ChemRxiv,preprint,Christopher Ashwood; Brian Pratt; Brendan MacLean; Rebekah L. Gundry; Nicolle H. Packer
<i>Avant-garde</i> : An automated data-driven DIA data curation tool,2019,bioRxiv (Cold Spring Harbor Laboratory),preprint,Alvaro Sebastian Vaca Jácome; Ryan Peckner; Nicholas Shulman; Karsten Krug; Katherine C. DeRuff; Adam Officer; Brendan MacLean; Michael J. MacCoss; Steven A. Carr; Jacob D. Jaffe
Standardization of PGC-LC-MS-based glycomics for sample specific glycotyping,2018,ChemRxiv,preprint,Christopher Ashwood; Brian R. Pratt; Brendan MacLean; Rebekah L. Gundry; Nicolle H. Packer
Chromatogram libraries improve peptide detection and quantification by data independent acquisition mass spectrometry,2018,Nature Communications,article,Brian C. Searle; Lindsay K. Pino; Jarrett D. Egertson; Ying S. Ting; Robert Lawrence; Brendan MacLean; Judit Villén; Michael J. MacCoss
Panorama Public: A Public Repository for Quantitative Data Sets Processed in Skyline,2018,Molecular & Cellular Proteomics,article,Vagisha Sharma; Josh Eckels; Birgit Schilling; Christina Ludwig; Jacob D. Jaffe; Michael J. MacCoss; Brendan MacLean
A Library of Phosphoproteomic and Chromatin Signatures for Characterizing Cellular Responses to Drug Perturbations,2018,Cell Systems,article,Lev Litichevskiy; Ryan Peckner; Jennifer G. Abelin; Jacob K. Asiedu; Amanda L. Creech; John F. Davis; Desiree Davison; Caitlin M. Dunning; Jarrett D. Egertson; Shawn B. Egri; Joshua Gould; Tak Ko; Sarah Johnson; David L. Lahr; Daniel D. Lam; Zihan Liu; Nicholas Lyons; Xiaodong Lü; Brendan MacLean; Alison E. Mungenast; Adam Officer; Ted Natoli; Malvina Papanastasiou; Jinal Patel; Vagisha Sharma; Courtney Toder; Andrew A. Tubelli; Jennie Z. Young; Steven A. Carr; Todd R. Golub; Aravind Subramanian; Michael J. MacCoss; Li‐Huei Tsai; Jacob D. Jaffe
"Using Skyline to Analyze Data-Containing Liquid Chromatography, Ion Mobility Spectrometry, and Mass Spectrometry Dimensions",2018,Journal of the American Society for Mass Spectrometry,article,Brendan MacLean; Brian Pratt; Jarrett D. Egertson; Michael J. MacCoss; Richard Smith; Erin Baker
Utilization of a Dextran Ladder to Standardize PGC-LC-MS-Based Glycomics,2018,ChemRxiv,preprint,Christopher Ashwood; Brian R. Pratt; Brendan MacLean; Nicolle H. Packer
